Volume,Open,Close,High,Low
974,1.04684,1.04575,1.04711,1.04567
481,1.04577,1.04662,1.04712,1.04572
664,1.04665,1.04758,1.04808,1.04646
392,1.04761,1.04721,1.0478,1.04709
394,1.04718,1.04848,1.04848,1.04715
285,1.04852,1.04884,1.04898,1.0482
250,1.04886,1.04824,1.04902,1.04816
368,1.04821,1.04882,1.04892,1.04813
1639,1.04885,1.04602,1.04888,1.04536
2830,1.04606,1.04353,1.04658,1.04207
2456,1.04356,1.04017,1.04365,1.04002
1781,1.04015,1.03966,1.04166,1.0396
1787,1.03964,1.03942,1.03996,1.03812
1735,1.0394,1.03892,1.03944,1.03752
1320,1.03894,1.03914,1.03919,1.03818
1396,1.03912,1.03894,1.04081,1.03848
5116,1.03894,1.03844,1.03902,1.03406
4713,1.03846,1.04154,1.04338,1.03786
1054,1.04152,1.04271,1.04284,1.04101
1095,1.04269,1.0415,1.04319,1.04136
820,1.04148,1.04107,1.0415,1.04054
943,1.0411,1.04021,1.04173,1.0402
320,1.04018,1.0405,1.0407,1.04018
414,1.04061,1.04093,1.0413,1.0404
679,1.04094,1.04177,1.0424,1.04094
1053,1.04175,1.03946,1.0418,1.03922
1234,1.03948,1.03936,1.04022,1.03899
842,1.03934,1.04056,1.04064,1.03934
562,1.04054,1.04054,1.04082,1.03979
376,1.04052,1.04026,1.04095,1.04026
306,1.04028,1.04068,1.04092,1.04018
622,1.04066,1.04061,1.04146,1.03993
1372,1.04063,1.04173,1.04214,1.04056
2308,1.04176,1.04338,1.04404,1.04153
1835,1.04335,1.04382,1.04456,1.04282
1721,1.04379,1.04325,1.0444,1.04272
1572,1.04328,1.04316,1.04452,1.04274
1619,1.04312,1.04338,1.04414,1.04236
1783,1.0434,1.04392,1.04464,1.0428
2858,1.0439,1.04622,1.04638,1.04368
3061,1.04625,1.04762,1.04811,1.04536
2124,1.04765,1.04753,1.04917,1.04715
1025,1.04751,1.04717,1.04838,1.04694
676,1.04719,1.04784,1.04825,1.04677
4638,1.04784,1.04665,1.05,1.0452
1252,1.04663,1.04863,1.04872,1.04639
569,1.0486,1.04892,1.04953,1.0481
411,1.04887,1.04873,1.04916,1.04828
584,1.04876,1.04969,1.05014,1.04808
3422,1.04972,1.05406,1.05406,1.04964
1909,1.05408,1.05196,1.05411,1.05098
1105,1.05194,1.0515,1.0529,1.05113
968,1.05148,1.05204,1.05272,1.0514
581,1.05206,1.05264,1.05289,1.05178
1891,1.05262,1.05417,1.05636,1.05239
1880,1.05415,1.05668,1.0575,1.05408
3017,1.05664,1.05596,1.05686,1.05432
4262,1.05594,1.05153,1.05702,1.0505
2342,1.0515,1.05046,1.05236,1.05018
1627,1.05044,1.04887,1.05136,1.04878
1569,1.04884,1.04936,1.05012,1.04827
1772,1.04934,1.05013,1.05182,1.0492
5007,1.05017,1.05305,1.05426,1.04938
3267,1.05302,1.05454,1.05512,1.0528
7067,1.05458,1.06026,1.06088,1.05364
4896,1.06029,1.05988,1.06153,1.05859
1580,1.0599,1.05984,1.06012,1.05919
1422,1.05988,1.06,1.06074,1.05908
961,1.05998,1.0592,1.0601,1.05872
708,1.05922,1.05992,1.05994,1.05884
379,1.05994,1.06069,1.06098,1.05994
515,1.06026,1.06021,1.06084,1.0599
565,1.06024,1.06039,1.06134,1.06024
1443,1.06037,1.05903,1.0607,1.05854
1719,1.05905,1.05838,1.05918,1.05758
933,1.0584,1.05875,1.05935,1.05796
683,1.05872,1.05887,1.05922,1.05802
678,1.05884,1.05804,1.05912,1.05781
601,1.05808,1.05827,1.05834,1.05768
666,1.05825,1.05792,1.05882,1.05751
1615,1.05789,1.05843,1.05908,1.05744
1416,1.05841,1.05936,1.0598,1.05814
1707,1.05939,1.06006,1.06086,1.05868
1369,1.0601,1.06061,1.06076,1.05899
991,1.06059,1.05862,1.06059,1.05837
1224,1.0586,1.05799,1.05867,1.0571
9932,1.05802,1.05442,1.06224,1.05395
4836,1.05444,1.05586,1.05692,1.05355
3387,1.0558,1.0573,1.0583,1.05491
2318,1.05733,1.05588,1.05827,1.05512
1487,1.0559,1.05497,1.05618,1.05358
1066,1.05499,1.05258,1.0552,1.05254
704,1.0526,1.05312,1.05344,1.05251
552,1.05314,1.05343,1.05356,1.05279
300,1.0534,1.05323,1.05354,1.053
261,1.05304,1.05326,1.05346,1.05294
487,1.05326,1.05298,1.05362,1.0526
664,1.05299,1.05352,1.05358,1.05221
705,1.05348,1.0542,1.05445,1.05345
368,1.05422,1.05327,1.05424,1.05327
431,1.05324,1.05298,1.05347,1.05264
282,1.053,1.05266,1.053,1.05238
604,1.05264,1.0524,1.05322,1.05166
509,1.05238,1.05327,1.05366,1.05193
1363,1.05329,1.05375,1.0541,1.05294
1881,1.05377,1.05482,1.05562,1.05347
2440,1.0548,1.05242,1.05522,1.05234
1805,1.05239,1.05184,1.05254,1.0511
2427,1.05182,1.05246,1.05328,1.05125
1396,1.05244,1.05218,1.05314,1.05202
2355,1.05222,1.05348,1.0542,1.05128
2915,1.05351,1.05306,1.05488,1.05245
2434,1.05303,1.0555,1.0564,1.05285
2481,1.05552,1.05754,1.05829,1.05545
1246,1.05756,1.0571,1.05788,1.05615
788,1.05706,1.05642,1.05776,1.05636
661,1.0564,1.0578,1.05782,1.05623
870,1.05782,1.05688,1.05784,1.0558
234,1.0569,1.05713,1.0575,1.05671
620,1.05795,1.05843,1.05894,1.05736
385,1.05848,1.0586,1.05892,1.05828
911,1.05858,1.059,1.05995,1.05844
1124,1.05902,1.05788,1.0595,1.05759
